timestamp,RV
4/17/2020 16:00,0.0308
4/20/2020 16:00,0.0085
4/21/2020 16:00,0.0236
4/22/2020 16:00,0.0163
4/23/2020 16:00,0.0122
4/24/2020 16:00,0.0186
4/27/2020 16:00,0.0252
4/28/2020 16:00,0.0224
4/29/2020 16:00,0.0067
4/30/2020 16:00,0.0537
5/1/2020 16:00,0.0000
5/4/2020 16:00,0.0304
5/5/2020 16:00,0.0209
5/6/2020 16:00,0.0121
5/7/2020 16:00,0.0000
5/8/2020 16:00,0.0274
5/11/2020 16:00,0.0092
5/12/2020 16:00,0.0369
5/13/2020 16:00,0.0262
5/14/2020 16:00,0.0181
5/15/2020 16:00,0.0256
5/18/2020 16:00,0.0071
5/19/2020 16:00,0.0353
5/20/2020 16:00,0.0156
5/21/2020 16:00,0.0000
5/22/2020 16:00,0.0000
5/25/2020 16:00,0.0000
5/26/2020 16:00,0.0433
5/27/2020 16:00,0.0124
5/28/2020 16:00,0.0497
5/29/2020 16:00,0.0155
6/1/2020 16:00,0.0000
6/2/2020 16:00,0.0509
6/3/2020 16:00,0.0549
6/4/2020 16:00,0.0258
6/5/2020 16:00,0.0236
6/8/2020 16:00,0.0236
6/9/2020 16:00,0.0179
6/10/2020 16:00,0.0356
6/11/2020 16:00,0.0102
6/12/2020 16:00,0.0291
6/15/2020 16:00,0.0154
6/16/2020 16:00,0.0409
6/17/2020 16:00,0.0054
6/18/2020 16:00,0.0159
6/19/2020 16:00,0.0134
6/22/2020 16:00,0.0178
6/23/2020 16:00,0.0175
6/24/2020 16:00,0.0156
6/25/2020 16:00,0.0084
6/26/2020 16:00,0.0167
6/29/2020 16:00,0.0078
6/30/2020 16:00,0.0062
7/1/2020 16:00,0.0112
7/2/2020 16:00,0.0098
7/3/2020 16:00,0.0036
7/6/2020 16:00,0.0084
7/7/2020 16:00,0.0093
7/8/2020 16:00,0.0237
7/9/2020 16:00,0.0148
7/10/2020 16:00,0.0165
7/13/2020 16:00,0.0120
7/14/2020 16:00,0.0040
7/15/2020 16:00,0.0057
7/16/2020 16:00,0.0058
7/17/2020 16:00,0.0162
7/20/2020 16:00,0.0108
7/21/2020 16:00,0.0066
7/22/2020 16:00,0.0020
7/23/2020 16:00,0.0028
7/24/2020 16:00,0.0110
7/27/2020 16:00,0.0031
7/28/2020 16:00,0.0082
7/29/2020 16:00,0.0105
7/30/2020 16:00,0.0156
7/31/2020 16:00,0.0000
8/3/2020 16:00,0.0274
8/4/2020 16:00,0.0080
8/5/2020 16:00,0.0140
8/6/2020 16:00,0.0107
8/7/2020 16:00,0.0094
8/10/2020 16:00,0.0054
8/11/2020 16:00,0.0097
8/12/2020 16:00,0.0078
8/13/2020 16:00,0.0057
8/14/2020 16:00,0.0090
8/17/2020 16:00,0.0000
8/18/2020 16:00,0.0117
8/19/2020 16:00,0.0050
8/20/2020 16:00,0.0000
8/21/2020 16:00,0.0000
8/24/2020 16:00,0.0048
8/25/2020 16:00,0.0061
8/26/2020 16:00,0.0058
8/27/2020 16:00,0.0211
8/28/2020 16:00,0.0152
8/31/2020 16:00,0.0198
9/1/2020 16:00,0.0247
9/2/2020 16:00,0.0154
9/3/2020 16:00,0.0143
9/4/2020 16:00,0.0204
9/7/2020 16:00,0.0172
9/8/2020 16:00,0.0070
9/9/2020 16:00,0.0116
9/10/2020 16:00,0.0429
9/11/2020 16:00,0.0404
9/14/2020 16:00,0.0341
9/15/2020 16:00,0.0182
9/16/2020 16:00,0.0134
9/17/2020 16:00,0.0206
9/18/2020 16:00,0.0150
9/21/2020 16:00,0.0130
9/22/2020 16:00,0.0166
9/23/2020 16:00,0.0228
9/24/2020 16:00,0.0150
9/25/2020 16:00,0.0185
9/28/2020 16:00,0.0094
9/29/2020 16:00,0.0240
9/30/2020 16:00,0.0145
10/1/2020 16:00,0.0163
10/2/2020 16:00,0.0126
10/5/2020 16:00,0.0027
10/6/2020 16:00,0.0308
10/7/2020 16:00,0.0204
10/8/2020 16:00,0.0047
10/9/2020 16:00,0.0084
10/12/2020 16:00,0.0132
10/13/2020 16:00,0.0150
10/14/2020 16:00,0.0072
10/15/2020 16:00,0.0147
10/16/2020 16:00,0.0042
10/19/2020 16:00,0.0193
10/20/2020 16:00,0.0118
10/21/2020 16:00,0.0117
10/22/2020 16:00,0.0161
10/23/2020 16:00,0.0074
10/26/2020 16:00,0.0041
10/27/2020 16:00,0.0075
10/28/2020 16:00,0.0000
10/29/2020 16:00,0.0000
10/30/2020 16:00,0.0000
11/2/2020 16:00,0.0046
11/3/2020 16:00,0.0065
11/4/2020 16:00,0.0129
11/5/2020 16:00,0.0297
11/6/2020 16:00,0.0181
11/9/2020 16:00,0.0155
11/10/2020 16:00,0.0227
11/11/2020 16:00,0.0093
11/12/2020 16:00,0.0166
11/13/2020 16:00,0.0110
11/16/2020 16:00,0.0127
11/17/2020 16:00,0.0095
11/18/2020 16:00,0.0032
11/19/2020 16:00,0.0070
11/20/2020 16:00,0.0074
11/23/2020 16:00,0.0050
11/24/2020 16:00,0.0055
11/25/2020 16:00,0.0155
11/26/2020 16:00,0.0085
11/27/2020 16:00,0.0102
11/30/2020 16:00,0.0225
12/1/2020 16:00,0.0275
12/2/2020 16:00,0.0135
12/3/2020 16:00,0.0076
12/4/2020 16:00,0.0128
12/7/2020 16:00,0.0165
12/8/2020 16:00,0.0076
12/9/2020 16:00,0.0000
12/10/2020 16:00,0.0139
12/11/2020 16:00,0.0177
12/14/2020 16:00,0.0120
12/15/2020 16:00,0.0096
12/16/2020 16:00,0.0143
