Time stamp,RV Real,RV Forecast
2/23/2022 16:00,0.0198,0.0120
2/24/2022 16:00,0.0108,0.0121
2/25/2022 16:00,0.0107,0.0115
2/28/2022 16:00,0.0000,0.0116
3/1/2022 16:00,0.0181,0.0119
3/2/2022 16:00,0.0135,0.0120
3/3/2022 16:00,0.0000,0.0120
3/4/2022 16:00,0.0137,0.0120
3/7/2022 16:00,0.0175,0.0120
3/8/2022 16:00,0.0177,0.0121
